,city,Listing_Title,Posting_Date,Bedrooms,Sqft,Price,posting_ID,treatment_assignment,full_URL,Reply_contact_info_link,reply_email_TO_BE_FILLED_IN,Apartment_Complex_Flag
68,chicago,Great Value! Amazing 2 BED* Amenities* W/D In Unit* Balcony*,2017-03-17 15:03,2.0,1100.0,2690.0,6028222661,Jane_Control,https://chicago.craigslist.org/chc/apa/6028222661.html,https://chicago.craigslist.org/reply/chi/apa/6028222661,,
82,chicago,Spectacular Logan Square in the Best Neighborhood,2017-03-17 15:28,1.0,900.0,1995.0,6043885657,Jane_Control,https://chicago.craigslist.org/chc/apa/6043885657.html,https://chicago.craigslist.org/reply/chi/apa/6043885657,,
25,chicago,Renovated 2BR Avail. NOW-HDWD-DW-No Sec.Dep - 3720 N. Pine Grove,2017-03-17 15:37,2.0,,1695.0,6023971778,Jane_Treat_Low,https://chicago.craigslist.org/chc/apa/6023971778.html,https://chicago.craigslist.org/reply/chi/apa/6023971778,,
107,chicago,TREMENDOUS 2BR.1BTH W/ INT INCL AMENS! AVAIL 7/1!,2017-03-17 15:03,2.0,,2155.0,6048273302,John_Control,https://chicago.craigslist.org/nch/apa/6048273302.html,https://chicago.craigslist.org/reply/chi/apa/6048273302,,
94,chicago,Will you take this exquisite home?,2017-03-17 15:26,1.0,,1710.0,6038182675,John_Treat_High,https://chicago.craigslist.org/chc/apa/6038182675.html,https://chicago.craigslist.org/reply/chi/apa/6038182675,,
9,chicago,Lakeview 1 Bedroom 1 Bathroom ~ Hardwood Floor ~ SS ~ W/D ~ Pool,2017-03-17 15:44,1.0,,2300.0,6031467255,Jane_Control,https://chicago.craigslist.org/chc/apa/6031467255.html,https://chicago.craigslist.org/reply/chi/apa/6031467255,,
24,chicago,"Golf simulator room, Elegant crown molding, Resort-style swimming pool",2017-03-17 15:18,2.0,1340.0,3228.0,6045350388,John_Treat_Low,https://chicago.craigslist.org/nch/apa/6045350388.html,https://chicago.craigslist.org/reply/chi/apa/6045350388,,
102,chicago,Sunny 2 Bdr available 4/1 Must see....,2017-03-17 14:55,2.0,,1350.0,6005685642,John_Treat_High,https://chicago.craigslist.org/chc/apa/6005685642.html,https://chicago.craigslist.org/reply/chi/apa/6005685642,,
21,chicago,lakeview two bedroom walk-up/back deck/garage space available,2017-03-17 15:42,2.0,1000.0,1895.0,6048332425,John_Control,https://chicago.craigslist.org/chc/apa/6048332425.html,https://chicago.craigslist.org/reply/chi/apa/6048332425,,
31,chicago,Renovated 1 Bedroom-New Kitchen-SSA-DW-Avail 5/1! 740-50 W. Addison,2017-03-17 15:37,1.0,,1695.0,6023964519,Jane_Control,https://chicago.craigslist.org/chc/apa/6023964519.html,https://chicago.craigslist.org/reply/chi/apa/6023964519,,
75,chicago,Lake View-1 Bedroom/1 Bathroom,2017-03-17 15:25,1.0,,1445.0,6038132569,Jane_Treat_High,https://chicago.craigslist.org/chc/apa/6038132569.html,https://chicago.craigslist.org/reply/chi/apa/6038132569,,
31,chicago,"DYNAMIC STREETERVILLE 2 BED / 2 BATH -- HEAT, A/C, CABLE INTERNET",2017-03-17 14:14,2.0,,3630.0,6011274906,John_Treat_Low,https://chicago.craigslist.org/chc/apa/6011274906.html,https://chicago.craigslist.org/reply/chi/apa/6011274906,,
32,chicago,Wood floors + natural sunlight can be yours 5/1,2017-03-17 15:34,1.0,600.0,1375.0,6048287565,John_Control,https://chicago.craigslist.org/chc/apa/6048287565.html,https://chicago.craigslist.org/reply/chi/apa/6048287565,,
5,chicago,1 Bedroom 1 Bathroom in Lakeshore East ~ Hardwood ~ Balcony ~ SS ~ Spa,2017-03-17 15:46,1.0,,2241.0,6031457388,Jane_Treat_High,https://chicago.craigslist.org/chc/apa/6031457388.html,https://chicago.craigslist.org/reply/chi/apa/6031457388,,
93,chicago,2bdr plus den with FREE laundry/heat available 3/1,2017-03-17 14:56,2.0,,1400.0,6021888775,John_Control,https://chicago.craigslist.org/chc/apa/6021888775.html,https://chicago.craigslist.org/reply/chi/apa/6021888775,,
