,city,Listing_Title,Posting_Date,Bedrooms,Sqft,Price,posting_ID,treatment_assignment,full_URL,Reply_contact_info_link,reply_email_TO_BE_FILLED_IN,Apartment_Complex_Flag
21,sandiego,May Is Coming Fast..Hold your new Home Today!!! W/D Included!!,2017-03-17 13:39,2.0,910.0,1800.0,6048327828,Jane_Control,https://sandiego.craigslist.org/csd/apa/6048327828.html,https://sandiego.craigslist.org/reply/sdo/apa/6048327828,,
6,sandiego,"2 bedroom + Den, 2 bath house near SDSU",2017-03-17 13:35,2.0,1200.0,2600.0,6048321010,Jane_Control,https://sandiego.craigslist.org/csd/apa/6048321010.html,https://sandiego.craigslist.org/reply/sdo/apa/6048321010,,
61,sandiego,Corner 2 bedroom apartment with new floors,2017-03-17 11:51,2.0,1038.0,2230.0,6048125349,Jane_Control,https://sandiego.craigslist.org/nsd/apa/6048125349.html,https://sandiego.craigslist.org/reply/sdo/apa/6048125349,,
82,sandiego,Spacious Renovated One Bedroom on the Top Floor in Scripps Ranch!!!,2017-03-17 12:52,1.0,855.0,1876.0,6048256267,Jane_Control,https://sandiego.craigslist.org/csd/apa/6048256267.html,https://sandiego.craigslist.org/reply/sdo/apa/6048256267,,
34,sandiego,PRIME KENSINGTON LOCATION - SPACIOUS 2 BEDROOM/2 BATH APARTMENT,2017-03-17 13:31,2.0,600.0,1700.0,6048315717,Jane_Control,https://sandiego.craigslist.org/csd/apa/6048315717.html,https://sandiego.craigslist.org/reply/sdo/apa/6048315717,,
41,sandiego,1 BLOCK FROM THE BEACH!,2017-03-16 15:06,2.0,,3595.0,6047029451,Jane_Control,https://sandiego.craigslist.org/ssd/apa/6047029451.html,https://sandiego.craigslist.org/reply/sdo/apa/6047029451,,
63,sandiego,2 bed rooms Chula Vista,2017-03-17 08:34,2.0,,1350.0,6038206711,Jane_Control,https://sandiego.craigslist.org/csd/apa/6038206711.html,https://sandiego.craigslist.org/reply/sdo/apa/6038206711,,
30,sandiego,"High Floor Soft Loft w/ Large Living Room, Walk-in Closet, & Balcony!",2017-03-17 12:16,1.0,800.0,2633.0,6048197612,Jane_Control,https://sandiego.craigslist.org/csd/apa/6048197612.html,https://sandiego.craigslist.org/reply/sdo/apa/6048197612,,
51,sandiego,Stunning views of downtown and the bay-Penthouse Life,2017-03-16 13:17,1.0,705.0,3574.0,6046874140,Jane_Control,https://sandiego.craigslist.org/csd/apa/6046874140.html,https://sandiego.craigslist.org/reply/sdo/apa/6046874140,,
16,sandiego,"SHOWING TODAY! 6152 BROOKLYN AVE. SAN DIEGO, CA 92114",2017-03-17 11:59,2.0,,1250.0,6048170789,Jane_Control,https://sandiego.craigslist.org/csd/apa/6048170789.html,https://sandiego.craigslist.org/reply/sdo/apa/6048170789,,
