,city,Listing_Title,Posting_Date,Bedrooms,Sqft,Price,posting_ID,treatment_assignment,full_URL,Reply_contact_info_link,reply_email_TO_BE_FILLED_IN,Apartment_Complex_Flag
26,seattle,Penthouse one bedroom plus den at The Broadway Building!,2017-03-17 11:40,1.0,1152.0,3168.0,6035474827,John_Treat_High,https://seattle.craigslist.org/see/apa/6035474827.html,https://seattle.craigslist.org/reply/sea/apa/6035474827,,
53,seattle,"Sparkling Counters, Jaw-Dropping Amenities, Fabulous Apartments",2017-03-17 11:43,1.0,805.0,2875.0,6048143355,John_Treat_Low,https://seattle.craigslist.org/see/apa/6048143355.html,https://seattle.craigslist.org/reply/sea/apa/6048143355,,
117,seattle,Penthouse with 800 sf deck available at Jasper apartments,2017-03-17 09:08,2.0,996.0,2975.0,6047874074,John_Control,https://seattle.craigslist.org/see/apa/6047874074.html,https://seattle.craigslist.org/reply/sea/apa/6047874074,,
105,seattle,Capitol Hill. Beautifully renovated! Ask about our move in special! !,2017-03-17 11:49,2.0,654.0,2395.0,6007029104,Jane_Treat_Low,https://seattle.craigslist.org/see/apa/6007029104.html,https://seattle.craigslist.org/reply/sea/apa/6007029104,,
37,seattle,2x1 In The Beautiful City Of Renton. Pre-Lease for April!!,2017-03-17 13:14,2.0,915.0,1635.0,6048290226,John_Treat_High,https://seattle.craigslist.org/skc/apa/6048290226.html,https://seattle.craigslist.org/reply/sea/apa/6048290226,,
12,seattle,Two Bedrooms One Bath!  Sunset Park call us today and take a tour!,2017-03-17 13:34,2.0,913.0,1450.0,6045235856,John_Treat_Low,https://seattle.craigslist.org/see/apa/6045235856.html,https://seattle.craigslist.org/reply/sea/apa/6045235856,,
17,seattle,"Modern Private Residence - 1 Bedroom -View, 11 Ft. Ceil, Jacuzzi, Deck",2017-03-17 13:25,1.0,900.0,1999.0,6038291082,Jane_Treat_Low,https://seattle.craigslist.org/see/apa/6038291082.html,https://seattle.craigslist.org/reply/sea/apa/6038291082,,
71,seattle,This Is Where You Will Want To Live,2017-03-17 13:01,2.0,842.0,1225.0,6042396680,John_Treat_High,https://seattle.craigslist.org/tac/apa/6042396680.html,https://seattle.craigslist.org/reply/sea/apa/6042396680,,
105,seattle,LOFT available NOW! RARE FIND! ONE MONTH FREE!,2017-03-17 12:47,1.0,750.0,1915.0,6048247134,John_Treat_High,https://seattle.craigslist.org/see/apa/6048247134.html,https://seattle.craigslist.org/reply/sea/apa/6048247134,,
90,seattle,"Great value & location! 1BR apt w/ Spacious plan, W/D, Modern kitchen",2017-03-17 12:55,1.0,647.0,1729.0,6042445560,Jane_Treat_Low,https://seattle.craigslist.org/see/apa/6042445560.html,https://seattle.craigslist.org/reply/sea/apa/6042445560,,
