,Listing_Title,Posting_Date,city,posting_ID,full_URL,Bedrooms,Sqft,Price,Reply_contact_info_link,reply_email_TO_BE_FILLED_IN
0,UNBEATABLE DEALS!! $200 DEPOSIT CALL TODAY FOR MORE INFORMATION!!!,2017-02-22 05:39,denver,6008319079,https://denver.craigslist.org/apa/6008319079.html,1.0,600.0,870.0,https://denver.craigslist.org/reply/den/apa/6008319079,
1,"Lease takeover,",2017-02-22 05:23,denver,6002990780,https://denver.craigslist.org/apa/6002990780.html,1.0,800.0,658.0,https://denver.craigslist.org/reply/den/apa/6002990780,
2,Specials Going On At The Grammercy,2017-02-22 03:59,denver,5978277102,https://denver.craigslist.org/apa/5978277102.html,1.0,660.0,995.0,https://denver.craigslist.org/reply/den/apa/5978277102,
3,"24-Hour Availibility, Range, Package Receiving",2017-02-22 03:09,denver,5988166250,https://denver.craigslist.org/apa/5988166250.html,1.0,475.0,975.0,https://denver.craigslist.org/reply/den/apa/5988166250,
4,"Laundry Facility, Online Payments Available, Short Term Lease",2017-02-22 02:58,denver,6005144272,https://denver.craigslist.org/apa/6005144272.html,1.0,660.0,975.0,https://denver.craigslist.org/reply/den/apa/6005144272,
5,"Pat's Picks, 14701 E Tennessee (Miss. & Sable)",2017-02-22 02:06,denver,5988862856,https://denver.craigslist.org/apa/5988862856.html,1.0,664.0,1000.0,https://denver.craigslist.org/reply/den/apa/5988862856,
6,"Pool, Package Receiving, Accepts Electronic Payments",2017-02-22 00:59,denver,5985046488,https://denver.craigslist.org/apa/5985046488.html,1.0,475.0,975.0,https://denver.craigslist.org/reply/den/apa/5985046488,
7,Awesome Move In Special!!!!!,2017-02-22 00:25,denver,5999385827,https://denver.craigslist.org/apa/5999385827.html,1.0,660.0,975.0,https://denver.craigslist.org/reply/den/apa/5999385827,
8,"On-site Management, Pets Allowed, Range",2017-02-22 00:01,denver,5981819959,https://denver.craigslist.org/apa/5981819959.html,1.0,680.0,955.0,https://denver.craigslist.org/reply/den/apa/5981819959,
9,"Updated One Bedroom, Second Floor, Onsite Laundry",2017-02-21 23:10,denver,5985350945,https://denver.craigslist.org/apa/5985350945.html,1.0,660.0,995.0,https://denver.craigslist.org/reply/den/apa/5985350945,
10,One bedroom /1 bath - Yale and Monaco Pkwy.,2017-02-21 22:31,denver,6014312705,https://denver.craigslist.org/apa/6014312705.html,1.0,700.0,950.0,https://denver.craigslist.org/reply/den/apa/6014312705,
11,2 bedroom 1 full bath basement mother-in-law apartment,2017-02-21 22:18,denver,6007849428,https://denver.craigslist.org/apa/6007849428.html,2.0,1100.0,950.0,https://denver.craigslist.org/reply/den/apa/6007849428,
12,"Quiet, Warm Hardwood floors, Laundry on each floor",2017-02-21 22:09,denver,5988751935,https://denver.craigslist.org/apa/5988751935.html,1.0,,955.0,https://denver.craigslist.org/reply/den/apa/5988751935,
13,"On-site Management, Fireplace, Package Receiving",2017-02-21 22:03,denver,5987136155,https://denver.craigslist.org/apa/5987136155.html,1.0,660.0,995.0,https://denver.craigslist.org/reply/den/apa/5987136155,
14,"Fireplace, Patio, Dishwasher",2017-02-21 20:57,denver,5991740980,https://denver.craigslist.org/apa/5991740980.html,1.0,660.0,975.0,https://denver.craigslist.org/reply/den/apa/5991740980,
15,Microhouse in Denver - Great for Grad Students and Recent Grads,2017-02-21 20:48,denver,6014243188,https://denver.craigslist.org/apa/6014243188.html,1.0,195.0,800.0,https://denver.craigslist.org/reply/den/apa/6014243188,
16,"Accept Credit Card Payments, Street Parking, 24-Hour Availibility",2017-02-21 20:38,denver,5973448406,https://denver.craigslist.org/apa/5973448406.html,1.0,475.0,975.0,https://denver.craigslist.org/reply/den/apa/5973448406,
17,DU Apartment,2017-02-21 20:24,denver,5989339207,https://denver.craigslist.org/apa/5989339207.html,1.0,500.0,970.0,https://denver.craigslist.org/reply/den/apa/5989339207,
18,"Contemporary Finishes, Fitness Center, Social Functions",2017-02-21 19:54,denver,6014198703,https://denver.craigslist.org/apa/6014198703.html,1.0,575.0,926.0,https://denver.craigslist.org/reply/den/apa/6014198703,
19,"Are You Looking For A One Bedroom, Our Prices Have Dropped",2017-02-21 19:44,denver,5995661036,https://denver.craigslist.org/apa/5995661036.html,1.0,660.0,975.0,https://denver.craigslist.org/reply/den/apa/5995661036,
20,"Pets Allowed, Refridgerator, Playground",2017-02-21 19:25,denver,5979291359,https://denver.craigslist.org/apa/5979291359.html,1.0,680.0,955.0,https://denver.craigslist.org/reply/den/apa/5979291359,
21,1 bedroom in 2 bedroom apartment,2017-02-21 19:20,denver,6014163177,https://denver.craigslist.org/apa/6014163177.html,2.0,,650.0,https://denver.craigslist.org/reply/den/apa/6014163177,
22,"1 Bed, 1 Bath on Poet's Row in Cap Hill! Jack Kerouac",2017-02-21 18:59,denver,6010504789,https://denver.craigslist.org/apa/6010504789.html,1.0,535.0,1000.0,https://denver.craigslist.org/reply/den/apa/6010504789,
