,Bedrooms,Listing_Title,Posting_Date,Price,Reply_contact_info_link,Sqft,city,full_URL,posting_ID
0,1.0,"Accepts Electronic Payments, Pets Allowed, Controlled Access",2017-03-17 13:37,1215.0,https://seattle.craigslist.org/reply/sea/apa/6048324006,650.0,seattle,https://seattle.craigslist.org/skc/apa/6048324006.html,6048324006
5,1.0,Beautiful upgraded home!!! Call TODAY!!!,2017-03-17 13:36,1172.0,https://seattle.craigslist.org/reply/sea/apa/6048322523,784.0,seattle,https://seattle.craigslist.org/oly/apa/6048322523.html,6048322523
7,1.0,Brand New Remodeled Home! Last One This Month!,2017-03-17 13:35,1464.0,https://seattle.craigslist.org/reply/sea/apa/6048322058,650.0,seattle,https://seattle.craigslist.org/see/apa/6048322058.html,6048322058
10,1.0,South Capital Hill Secure One Bedroom Condo at Maison Jiselle,2017-03-17 13:34,1400.0,https://seattle.craigslist.org/reply/sea/apa/6048320024,480.0,seattle,https://seattle.craigslist.org/see/apa/6048320024.html,6048320024
14,1.0,CHARMING 1 BD X 1 BA!,2017-03-17 13:33,1100.0,https://seattle.craigslist.org/reply/sea/apa/6048193133,,seattle,https://seattle.craigslist.org/tac/apa/6048193133.html,6048193133
16,1.0,$800 Amazon Gift Card.,2017-03-17 13:32,1195.0,https://seattle.craigslist.org/reply/sea/apa/6048316898,,seattle,https://seattle.craigslist.org/see/apa/6048316898.html,6048316898
19,1.0,"...STAINLESS STEEL, BRAND NEW..HURRY IN!",2017-03-17 13:30,1015.0,https://seattle.craigslist.org/reply/sea/apa/6045299761,714.0,seattle,https://seattle.craigslist.org/tac/apa/6045299761.html,6045299761
21,1.0,1bd 1bth Sunny side Apt,2017-03-17 13:27,1080.0,https://seattle.craigslist.org/reply/sea/apa/6048300433,756.0,seattle,https://seattle.craigslist.org/sno/apa/6048300433.html,6048300433
22,1.0,$99 Special When You Apply At Vue25 Today!!,2017-03-17 13:26,1445.0,https://seattle.craigslist.org/reply/sea/apa/6048307364,900.0,seattle,https://seattle.craigslist.org/tac/apa/6048307364.html,6048307364
23,1.0,"1x1 Great Value!!! Move-In Special, Call Now To Reserve",2017-03-17 13:26,1025.0,https://seattle.craigslist.org/reply/sea/apa/6048307291,620.0,seattle,https://seattle.craigslist.org/sno/apa/6048307291.html,6048307291
24,1.0,Top Floor! Hard Wood Floors Throughout!,2017-03-17 13:25,1235.0,https://seattle.craigslist.org/reply/sea/apa/6036706564,690.0,seattle,https://seattle.craigslist.org/tac/apa/6036706564.html,6036706564
26,1.0,Welcome Home to Brackett,2017-03-17 13:22,1419.0,https://seattle.craigslist.org/reply/sea/apa/6041098188,515.0,seattle,https://seattle.craigslist.org/sno/apa/6041098188.html,6041098188
33,1.0,Amazing Remodeled 1 bedroom 1 bath apartment home on ground floor,2017-03-17 13:20,1444.0,https://seattle.craigslist.org/reply/sea/apa/6048298740,657.0,seattle,https://seattle.craigslist.org/sno/apa/6048298740.html,6048298740
34,1.0,COME SAVE $1000 OFF ANY WAY YOU WANT IT!!! CHECK OUT OUR PRICES!!!,2017-03-17 13:19,1105.0,https://seattle.craigslist.org/reply/sea/apa/6048297787,779.0,seattle,https://seattle.craigslist.org/tac/apa/6048297787.html,6048297787
35,1.0,CRAZY DEALS RIGHT HERE!!! $1000 ANY WAY YOU WANT!!!,2017-03-17 13:19,1085.0,https://seattle.craigslist.org/reply/sea/apa/6048297739,816.0,seattle,https://seattle.craigslist.org/tac/apa/6048297739.html,6048297739
36,1.0,"Playground, Professional on-site management, Renovated interiors",2017-03-17 13:19,1265.0,https://seattle.craigslist.org/reply/sea/apa/6038314909,828.0,seattle,https://seattle.craigslist.org/skc/apa/6038314909.html,6038314909
37,1.0,1X1 Top Floor-Renovated | Spacious with Ample Parking!,2017-03-17 13:17,1319.0,https://seattle.craigslist.org/reply/sea/apa/6048294743,758.0,seattle,https://seattle.craigslist.org/skc/apa/6048294743.html,6048294743
38,1.0,CLOSE TO JBLM!!! ASK ABOUT $1000 OFF AND LOWERED PRICES!!!,2017-03-17 13:17,1085.0,https://seattle.craigslist.org/reply/sea/apa/6048293859,743.0,seattle,https://seattle.craigslist.org/tac/apa/6048293859.html,6048293859
39,1.0,COME IN AND TOUR TODAY!!! ASK ABOUT $1000 OFF AND LOWERED PRICES!!!,2017-03-17 13:16,1065.0,https://seattle.craigslist.org/reply/sea/apa/6048293515,662.0,seattle,https://seattle.craigslist.org/tac/apa/6048293515.html,6048293515
41,1.0,"Pet Park, Business Center, Package Receiving",2017-03-17 13:14,1025.0,https://seattle.craigslist.org/reply/sea/apa/6042081515,592.0,seattle,https://seattle.craigslist.org/skc/apa/6042081515.html,6042081515
42,1.0,"WiFi in the Office and Cabana, Updater Moving Partner",2017-03-17 13:14,1461.0,https://seattle.craigslist.org/reply/sea/apa/6048290261,644.0,seattle,https://seattle.craigslist.org/est/apa/6048290261.html,6048290261
43,1.0,Fantastic Community With Opening- Great Unit Fantastic Location,2017-03-17 13:14,1155.0,https://seattle.craigslist.org/reply/sea/apa/6014136723,750.0,seattle,https://seattle.craigslist.org/tac/apa/6014136723.html,6014136723
45,1.0,LOOK INSIDE FOR GREAT DEALS!!! $1000 OFF AND NEWLY LOWERED PRICES!!!,2017-03-17 13:14,1045.0,https://seattle.craigslist.org/reply/sea/apa/6048289793,675.0,seattle,https://seattle.craigslist.org/tac/apa/6048289793.html,6048289793
46,1.0,HELLO....? WE ARE HERE AND READY FOR A RENTER LIKE YOU!,2017-03-17 13:14,1450.0,https://seattle.craigslist.org/reply/sea/apa/6048280586,750.0,seattle,https://seattle.craigslist.org/see/apa/6048280586.html,6048280586
47,1.0,DEALS!!! DEALS!!! DEALS!!! $1000 OFF!!! NEWLY LOWERED PRICES!!!,2017-03-17 13:14,1045.0,https://seattle.craigslist.org/reply/sea/apa/6048289665,704.0,seattle,https://seattle.craigslist.org/tac/apa/6048289665.html,6048289665
48,1.0,HOW DOES $1000 OFF ANY WAY YOU WANT IT SOUND?!!!,2017-03-17 13:14,1000.0,https://seattle.craigslist.org/reply/sea/apa/6048289545,585.0,seattle,https://seattle.craigslist.org/tac/apa/6048289545.html,6048289545
49,1.0,"Pool, Carport, Pool Table $99 dep $12 apps READY TODAY!!!!",2017-03-17 13:14,1025.0,https://seattle.craigslist.org/reply/sea/apa/6048289259,592.0,seattle,https://seattle.craigslist.org/skc/apa/6048289259.html,6048289259
50,1.0,Last One bedroom Townhouse! Hurry in while it lasts!,2017-03-17 13:14,1415.0,https://seattle.craigslist.org/reply/sea/apa/6048289216,890.0,seattle,https://seattle.craigslist.org/see/apa/6048289216.html,6048289216
51,1.0,Apartment for rent,2017-03-17 13:14,1400.0,https://seattle.craigslist.org/reply/sea/apa/6048267471,,seattle,https://seattle.craigslist.org/sno/apa/6048267471.html,6048267471
54,1.0,"Short Term Lease, Night Patrol, Dishwasher",2017-03-17 13:11,1250.0,https://seattle.craigslist.org/reply/sea/apa/6042456542,680.0,seattle,https://seattle.craigslist.org/skc/apa/6042456542.html,6042456542
55,1.0,Look & lease this one bedroom today! move in ready!,2017-03-17 13:11,1259.0,https://seattle.craigslist.org/reply/sea/apa/6048284638,600.0,seattle,https://seattle.craigslist.org/skc/apa/6048284638.html,6048284638
56,1.0,Big Savings! Great Commuting Location! Buses! Park & Ride!,2017-03-17 13:10,1415.0,https://seattle.craigslist.org/reply/sea/apa/6042455944,585.0,seattle,https://seattle.craigslist.org/est/apa/6042455944.html,6042455944
57,1.0,Ground floor 1 bed 1 bath available now ( c-103),2017-03-17 13:10,1473.0,https://seattle.craigslist.org/reply/sea/apa/6048283353,794.0,seattle,https://seattle.craigslist.org/skc/apa/6048283353.html,6048283353
60,1.0,(0779) Totally Renovated Queen Anne apartment near Seattle Center,2017-03-17 13:09,1395.0,https://seattle.craigslist.org/reply/sea/apa/6045372123,,seattle,https://seattle.craigslist.org/see/apa/6045372123.html,6045372123
61,1.0,Apt $1075,2017-03-17 13:08,1075.0,https://seattle.craigslist.org/reply/sea/apa/6040975401,600.0,seattle,https://seattle.craigslist.org/sno/apa/6040975401.html,6040975401
62,1.0,(0779) Totally Renovated Queen Anne apartment near Seattle Center,2017-03-17 13:08,1395.0,https://seattle.craigslist.org/reply/sea/apa/6045375468,,seattle,https://seattle.craigslist.org/see/apa/6045375468.html,6045375468
65,1.0,A Pot of Gold Waits For You At Trillium W/ 1 Month FREE!,2017-03-17 13:06,1399.0,https://seattle.craigslist.org/reply/sea/apa/6048278133,656.0,seattle,https://seattle.craigslist.org/sno/apa/6048278133.html,6048278133
66,1.0,WE HAVE HOMES FOR MAY!!! PRE LEASE TODAY BEFORE PRICES GO UP!,2017-03-17 13:06,1499.0,https://seattle.craigslist.org/reply/sea/apa/6048277472,608.0,seattle,https://seattle.craigslist.org/see/apa/6048277472.html,6048277472
67,1.0,Make Today Your Lucky Day & Rent with Us! 1x1 Available Now!,2017-03-17 13:04,1395.0,https://seattle.craigslist.org/reply/sea/apa/6048274428,750.0,seattle,https://seattle.craigslist.org/skc/apa/6048274428.html,6048274428
68,1.0,"FEELING LUCKY? SPACIOUS 1X1, COME TOUR TODAY!",2017-03-17 13:03,1206.0,https://seattle.craigslist.org/reply/sea/apa/6048273020,660.0,seattle,https://seattle.craigslist.org/skc/apa/6048273020.html,6048273020
69,1.0,Walk In Closet | Corner Home | Top Floor - Won't Last Long!,2017-03-17 13:02,1475.0,https://seattle.craigslist.org/reply/sea/apa/6048271718,635.0,seattle,https://seattle.craigslist.org/see/apa/6048271718.html,6048271718
72,1.0,Happy St Pattys day! Come enjoy Beer and Baked Potato bar!,2017-03-17 13:00,1455.0,https://seattle.craigslist.org/reply/sea/apa/6048267260,600.0,seattle,https://seattle.craigslist.org/oly/apa/6048267260.html,6048267260
73,1.0,Quiet/Cozy/Private and ONLY $1450! APPLY TODAY!!!!,2017-03-17 12:59,1450.0,https://seattle.craigslist.org/reply/sea/apa/6048266557,635.0,seattle,https://seattle.craigslist.org/see/apa/6048266557.html,6048266557
78,1.0,"Great Location, Hardwood Throughout, Modern Finishes",2017-03-17 12:58,1395.0,https://seattle.craigslist.org/reply/sea/apa/6045390492,600.0,seattle,https://seattle.craigslist.org/see/apa/6045390492.html,6045390492
79,1.0,Spring Forward Into Savings! Rent This Tastefully Renovated 1x1 Today,2017-03-17 12:55,1110.0,https://seattle.craigslist.org/reply/sea/apa/6048260381,670.0,seattle,https://seattle.craigslist.org/tac/apa/6048260381.html,6048260381
