,city,Listing_Title,Posting_Date,Bedrooms,Sqft,Price,posting_ID,treatment_assignment,reply_email_TO_BE_FILLED_IN,Apartment_Complex_Flag
56,chicago,Stunning Penthouse 2 Bed 2 Bath Condo w/ Private Rooftop Deck,2017-03-17 15:26,2.0,,2000.0,6028147071,Jane_Treat_Low,,
31,chicago,Gorgeous Lakeview 2 Bed 2 Bath with In unit Laundry!,2017-03-17 15:28,2.0,,2600.0,6022001877,Jane_Treat_High,,
96,chicago,MOVE IN MARCH! MOVE IN MARCH! MOVE IN MARCH! MOVE IN MARCH!,2017-03-17 15:23,2.0,1300.0,1375.0,6048303342,John_Control,,
82,chicago,One Bedroom + Den in Near North Side,2017-03-17 15:23,1.0,,2485.0,6048279055,John_Treat_High,,
1,chicago,RAVENSWOOD: SPACIOUS 1 BED 1 BATH HWF LARGE BEDROOM HEAT INCLUDED,2017-03-17 15:46,1.0,,1250.0,6048269837,Jane_Treat_Low,,
103,chicago,RAVENSWOOD: 2 BED 1 BATH NEW APPLIANCES DW HEAT INCLUDED,2017-03-17 15:12,2.0,,1850.0,6048243215,John_Treat_Low,,
97,chicago,Gut Rehabbed Edgewater 1 Bed Condo w/ Cable Included!,2017-03-17 15:23,1.0,,1275.0,6032523916,John_Treat_High,,
91,chicago,Gut Rehabbed Edgewater 1 Bed Condo w/ Cable Included!,2017-03-17 15:23,1.0,,1275.0,6032568557,John_Control,,
107,chicago,Oustanding Logan Square Location Duplex with 2 Full Bathrooms & Garage,2017-03-17 15:12,2.0,2000.0,2450.0,6036527615,Jane_Treat_High,,
33,chicago,Stunning 2 Bed 2 Bath Condo w/ Private Rooftop Deck & Parking Included,2017-03-17 15:32,2.0,,2000.0,6035093017,Jane_Treat_Low,,
17,chicago,Renovated 2BR Avail. 5/1-HDWD-DW-No Sec.Dep - 3720 N. Pine Grove,2017-03-17 15:37,2.0,,2095.0,6036592593,John_Treat_High,,
50,chicago,ELEVATOR BUILDING! FITNESS CENTER! HEAT INCLUDED! CORNER UNIT!,2017-03-17 15:29,2.0,1235.0,1695.0,6048302629,John_Control,,
4,chicago,Old Town Jr 1 Bedroom ~ Amenity Floor ~ W/D ~ Amazing Pool,2017-03-17 15:46,1.0,,2303.0,6031444137,John_Control,,
8,chicago,2 BR/1BA CONCRETE LOFT CONDO FOR RENT RIVER NORTH 2500.00 MUST SEE!!,2017-03-17 15:46,2.0,,2500.0,6048337895,John_Treat_High,,
4,chicago,Best Location! 2 Blocks to Blue. SS Appl. & Condo Quality. Pets OK!,2017-03-17 15:48,2.0,,1995.0,6048341745,Jane_Treat_Low,,
25,chicago,Renovated Condo Quality JR 1BR-SSA-DW-HDWD- 625 W. Wrightwood,2017-03-17 15:36,1.0,,1350.0,6033556710,Jane_Treat_High,,
81,chicago,"2 bed/1.5 bath, near Harper College, Woodfield Mall, highways",2017-03-17 15:05,2.0,,1100.0,6024186710,Jane_Control,,
57,chicago,Gut Rehabbed Edgewater 1 Bed Condo w/ Cable Included!,2017-03-17 15:29,1.0,,1275.0,6028184470,John_Treat_High,,
39,chicago,Bucktown Newer Construction 2Bed 2Bath Condo w 2 Balconies!!!!,2017-03-17 15:32,2.0,1200.0,2300.0,6048316618,Jane_Treat_Low,,
94,chicago,RIVER WEST: 2 BED 2 BATH HDWD S/S DW MICRO W/D BALCONY CENTRAL AIR,2017-03-17 14:51,2.0,,2650.0,6043086086,John_Control,,
70,chicago,Floor to Ceiling Bay Windows -- Awesome Views,2017-03-17 15:00,2.0,,2507.0,6013591231,Jane_Treat_High,,
16,chicago,"Spacious 1 bed near Trader Joe's, Roosevelt CTA, Target",2017-03-17 15:43,1.0,,1785.0,6006694707,John_Control,,
37,chicago,Great Edgewater 1 Bed Condo w/ Heat and Cable Included!,2017-03-17 15:34,1.0,,1400.0,6035099418,John_Treat_High,,
111,chicago,"CORNER UNIT, GORGEOUS APARTMENT, BALCONY, CITY VIEW",2017-03-17 14:32,1.0,,2523.0,6045352759,Jane_Control,,
