,city,Listing_Title,Posting_Date,Bedrooms,Sqft,Price,posting_ID,treatment_assignment,reply_email_TO_BE_FILLED_IN,Apartment_Complex_Flag
43,houston,Modern Living in established Apartment!-Offer upto $500,2017-03-17 12:55,2.0,1232.0,2200.0,6012492134,Jane_Treat_Low,,
92,houston,2 MO FREE WITH 12 MO LEASE!! CALL NOW,2017-03-17 14:48,2.0,1153.0,1871.0,6026926608,Jane_Treat_High,,
79,houston,No need to prioritize your needs - Briar Forest - West Memorial.,2017-03-17 15:01,1.0,1094.0,1799.0,6024987140,John_Treat_High,,
53,houston,Furnished Apartment in the Galleria!,2017-03-17 10:55,1.0,840.0,2600.0,6047840428,Jane_Control,,
98,houston,"Over-Counter Pendant Lighting, Spacious Utility Rooms, Copier and Fax",2017-03-17 14:38,1.0,849.0,1550.0,6042126123,John_Treat_Low,,
23,houston,1 MO FREE UPFRONT & 1 MO FREE (PRORATED) | BEST PRICE START @ $1227,2017-03-17 15:29,2.0,,1227.0,6035109201,Jane_Treat_High,,
54,houston,Specious Two  Bedroom,2017-03-17 08:10,1.0,,3300.0,6007993576,John_Treat_High,,
54,houston,3 MONTHS FREE | FANCY LIVING | EXCLUSIVE PROPERTY | $1000 LOOK N LEASE,2017-03-17 15:27,1.0,871.0,1643.0,6034427610,John_Control,,
98,houston,"Floor to ceiling windows, Solar Shades 4-6Weeks Free West/Rice U",2017-02-21 10:51,2.0,1267.0,3733.0,5993298862,John_Treat_High,,
112,houston,Live Like a KING ARCADE ROOM 🙉,2017-03-17 11:31,1.0,816.0,2175.0,6044114721,John_Treat_High,,
67,houston,"** River Oaks 1-3mo. ProRated reduced rent, 12' ceilings",2017-03-09 15:37,2.0,1435.0,3515.0,6036840845,John_Treat_Low,,
69,houston,*^*Luxury Lives Here 1 Bedroom Apartment,2017-03-17 14:28,2.0,1149.0,1419.0,6048195831,Jane_Treat_High,,
97,houston,"Great move in special,Amazing  deals $500 off 1st mo w/12mo L&L",2017-03-17 15:18,1.0,704.0,1137.0,6008074278,Jane_Treat_High,,
30,houston,Sweet Pricing* Special Offers!*,2017-03-17 15:23,2.0,993.0,1170.0,6048293730,John_Treat_High,,
112,houston,*Grill Under the Cabana* Beautiful New Kitchens 🎉,2017-03-16 13:44,2.0,1110.0,2568.0,6017000412,John_Treat_High,,
64,houston,THE BEST LOCATION,2017-03-17 15:19,2.0,1159.0,1795.0,6032072740,John_Control,,
13,houston,Luxury High Rise Montrose HOU306,2017-03-17 15:37,1.0,1039.0,2310.0,6041471749,John_Treat_High,,
56,houston,Beautiful New High-Rise in Montrose/Midtown,2017-03-17 10:40,2.0,1170.0,2995.0,6041933045,Jane_Control,,
3,houston,ALL BILLS PAID condo in West U/Medical Center area,2017-03-17 15:41,1.0,,1250.0,6018193818,Jane_Control,,
21,houston,Wonderful DT Views* Brand NEW*,2017-03-17 15:08,1.0,871.0,2135.0,6048280472,John_Treat_High,,
6,houston,Luxury High Rise Montrose HOU306,2017-03-17 15:38,1.0,875.0,2235.0,6041462802,Jane_Control,,
77,houston,3 MONTHS FREE | DARK | LIGHT | FINISHES | MODERN | LUXURY | LOCATION,2017-03-17 15:27,1.0,,1424.0,6034449949,Jane_Control,,
112,houston,"Remarkable Amenities, Controlled Access, Minutes from Downtown",2017-03-17 14:10,1.0,914.0,1894.0,6048188082,Jane_Control,,
54,houston,Midtown Good Location all bills paid,2017-03-17 10:54,1.0,,2600.0,6006093002,Jane_Treat_Low,,
98,houston,The best 1 bedroom from Spring area!,2017-03-17 15:17,1.0,,1200.0,6042418268,Jane_Control,,
21,houston,*BLOCK AWAY FROM ZOO* Killer KITCHENS,2017-03-17 14:41,2.0,1116.0,2119.0,6048237285,Jane_Control,,
118,houston,"Beautiful Garage Apartment, Available Now, BILLS PAID",2017-03-17 15:04,1.0,650.0,1250.0,6048238312,John_Treat_Low,,
105,houston,3 MONTHS FREE | EXCLUSIVE LIVING | BREATHTAKING VIEWS | GIFT FOR YOU $,2017-03-17 11:34,1.0,,2000.0,6033725948,John_Treat_Low,,
22,houston,Fabulous ALL BILLS PAID condo in West U/Medical Center area,2017-03-17 15:39,1.0,,1450.0,6028199853,Jane_Treat_Low,,
118,houston,LUXURY Hi-Rise Limited time SPECIAL,2017-03-14 22:53,2.0,1320.0,3400.0,6018702708,John_Treat_High,,
116,houston,Bright and luxurious home in Inner Loop / Medical Center 1 Bed,2017-03-17 15:04,1.0,754.0,1452.0,6026498660,Jane_Control,,
43,houston,Indoor BASKETBALL COURT ARCADE ROOM,2017-03-17 13:19,1.0,816.0,2175.0,6035802742,Jane_Control,,
85,houston,No need to prioritize your needs - Briar Forest - West Memorial.,2017-03-17 14:53,1.0,1094.0,1799.0,6048224068,Jane_Control,,
34,houston,"Bocce Ball Court, Resort-Style Swimming Pool, USB Charging Ports",2017-03-17 15:35,1.0,763.0,1205.0,6042436922,Jane_Treat_Low,,
27,houston,"Super posh property! Valet,concierge and amazing views!",2017-03-16 12:20,2.0,,3645.0,6035417426,John_Treat_High,,
58,houston,3 MONTHS FREE | $1000 CREDIT | WAIVED FEES | MODERN | LUXURY | NEW,2017-03-17 15:27,1.0,871.0,1643.0,6034419549,Jane_Treat_High,,
20,houston,Big Savings!Two Bedroom TOWNHOME!! ALL BILLS PAID!,2017-03-17 15:38,2.0,980.0,1600.0,6045227290,Jane_Treat_Low,,
106,houston,AMENITIES GALORE | TICKET GIVEAWAY | 3 MONTHS FREE | LEASE NOW,2017-03-17 11:34,1.0,,2000.0,6033711498,Jane_Treat_Low,,
29,houston,LUXURY Hi-Rise Limited time SPECIAL,2017-03-17 11:26,2.0,1320.0,3400.0,6018589135,Jane_Treat_High,,
72,houston,3 MONTHS FREE | VALET DRY CLEAN | ELECTRIC CAR CHARGE | DOG WASH,2017-03-17 15:27,1.0,,1200.0,6034532825,Jane_Treat_High,,
30,houston,I-10 & Post Oak-NEW Gorgeous MIDRISE! 0 app/Admin+free Move+2.5 mo fr,2017-03-17 15:32,2.0,1064.0,1540.0,6048264131,John_Treat_Low,,
49,houston,"Sophisticated retail,fine dining,and an array of entertainment options",2017-03-17 10:26,2.0,1044.0,2700.0,6043469008,Jane_Treat_High,,
73,houston,3 MONTHS FREE | CONCIERGE SERVICES | PET FRIENDLY | YOGA BY POOL | NEW,2017-03-17 15:27,1.0,,1200.0,6034531157,John_Control,,
111,houston,● Live the Exceptional Life at Washington Avenue / Inner Loop - 1 Bed,2017-03-17 15:08,1.0,585.0,1365.0,6024979542,Jane_Treat_Low,,
65,houston,HIGH RISE - MEDICAL CENTER -2BED,2017-03-17 15:19,2.0,,1799.0,6048287561,Jane_Control,,
69,houston,EXTRAVAGANCE AT IT'S BEST!!!! UP TO $500 REBATE!!!,2017-03-16 20:25,2.0,,2645.0,6047203808,John_Control,,
82,houston,Better living conditions in West Memorial / Energy Corridor.,2017-03-17 14:59,1.0,1148.0,1799.0,6048246874,Jane_Treat_Low,,
20,houston,ALL BILLS PAID condo in West U/Medical Center area,2017-03-17 15:39,1.0,,1250.0,6012337319,John_Treat_High,,
13,houston,ALL BILLS PAID condo in West U/Medical Center area,2017-03-17 15:40,1.0,,1250.0,6028185274,Jane_Treat_High,,
19,houston,Bright and luxurious home in Inner Loop / Medical Center 1 Bed,2017-03-17 15:40,1.0,754.0,1452.0,6012029027,John_Control,,
46,houston,Conveniant & comfortable & affordable,2017-03-17 11:27,1.0,,2600.0,6005976120,John_Treat_Low,,
