,city,Listing_Title,Posting_Date,Bedrooms,Sqft,Price,posting_ID,treatment_assignment,reply_email_TO_BE_FILLED_IN,Apartment_Complex_Flag
33,seattle,Spacious Luxury Open 1 Bedroom Fully Renewed & First Month FREE!,2017-03-17 12:58,1.0,903.0,2309.0,6048265283,John_Treat_High,,
28,seattle,"Washer and dryer in every apartment, European windows, Conference room",2017-03-17 13:05,1.0,749.0,2016.0,6048275237,John_Treat_High,,
61,seattle,"**UpGraded Home** Breakfast bar, Fireplace, Clubhouse",2017-03-17 13:05,2.0,925.0,1630.0,6027816800,Jane_Control,,
95,seattle,"1/2 Month Free, Business Center, Premium Fitness Club",2017-03-16 15:26,1.0,1056.0,3103.0,6047053896,Jane_Treat_Low,,
57,seattle,Ground floor 1 bed 1 bath available now ( c-103),2017-03-17 13:10,1.0,794.0,1473.0,6048283353,Jane_Treat_High,,
7,seattle,"Corner Two Bedroom Apartment; Lots Of Light, Lots Of Room!!!!",2017-03-17 13:05,2.0,969.0,2630.0,6048276148,John_Control,,
51,seattle,STUNNING Sand Point Remodeled Condo near Magnuson Park & Burke-Gilman!,2017-03-17 11:59,2.0,838.0,2495.0,6028162817,John_Control,,
48,seattle,HOW DOES $1000 OFF ANY WAY YOU WANT IT SOUND?!!!,2017-03-17 13:14,1.0,585.0,1000.0,6048289545,Jane_Treat_High,,
37,seattle,Modern Amenities. Urban Location. Sophisticated Style. Visit Now!,2017-03-17 12:12,1.0,,2605.0,6048183305,John_Treat_High,,
81,seattle,Renting Now! Available First Week of April!,2017-03-17 12:27,2.0,1021.0,1234.0,6048206655,John_Treat_Low,,
5,seattle,Independent Senior Living Tour/ Lease Same Day Receive 50% Off Deposit,2017-03-17 13:32,1.0,602.0,1757.0,6048301713,John_Treat_Low,,
116,seattle,HUGE 1 Bedroom in Ballard in Beautiful New Building!,2017-03-17 12:45,1.0,,1705.0,6048234226,Jane_Treat_Low,,
45,seattle,"1 Bed/1 Bath, Convenient garage parking, Urban concrete floors",2017-03-17 12:02,1.0,938.0,2572.0,6039505376,John_Treat_Low,,
115,seattle,"Only 1 left! Cute 1x1 w/Patio, concrete flooring and interior view",2017-03-17 12:42,1.0,590.0,1364.0,6048239411,John_Treat_High,,
108,seattle,Community & Charm in Central Ballard,2017-03-15 12:39,2.0,1096.0,3995.0,6045396777,Jane_Control,,
55,seattle,Look & lease this one bedroom today! move in ready!,2017-03-17 13:11,1.0,600.0,1259.0,6048284638,John_Treat_Low,,
